,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
0,FF,2025-06-24,86.5,-2.3,4.98,"Arraez, Luis",650333,592866,field_out,hit_into_play,,,,,5,Luis Arraez flies out to left fielder James Wood.,R,L,R,SD,WSH,X,7.0,fly_ball,1,1,2025,0.06,0.89,-0.1,2.48,,,701538.0,2,5,Bot,71.75,117.22,,,,,5.149934201486024,-125.76638571082314,-1.4621539924072386,-0.5343529808194558,29.08410442874086,-22.754558358869087,3.3,1.51,284.0,91.3,25.0,86.7,2220,6.8,777372,656180,663993,671277,691781,682928,695578,696285,695734,53.72,0.12,0.151,0.0,1.0,0.0,0.0,3.0,47,3,4-Seam Fastball,3,3,3,3,3,3,3,3,Infield shade,Standard,220,-0.031,-0.257,64.0,5.4,0.24,0.257,91.3,0,0,0.531,0.531,33,28,33,28,3,2,,,,,2.2,-0.06,0.06,,-7.60572373609352,6.48084232688859,40.22400783702771,35.162746903235536,30.14864359276872
1,FF,2025-06-24,86.2,-2.25,4.91,"Arraez, Luis",650333,592866,,ball,,,,,13,Luis Arraez flies out to left fielder James Wood.,R,L,R,SD,WSH,B,,,0,1,2025,-0.09,0.99,-1.72,2.07,,,701538.0,2,5,Bot,,,,,,,1.4525192594679863,-125.39470264875334,-2.458676296581278,-1.258038006415508,28.60317877635808,-21.513568029782885,3.23,1.57,,,,86.6,2206,6.9,777372,656180,663993,671277,691781,682928,695578,696285,695734,53.63,,,,,,,,47,2,4-Seam Fastball,3,3,3,3,3,3,3,3,Infield shade,Standard,197,0.0,0.032,,,,-0.032,,0,0,0.531,0.531,33,28,33,28,3,2,,,,,2.11,0.09,-0.09,,,,,,
2,FF,2025-06-24,86.8,-2.31,4.97,"Arraez, Luis",650333,592866,,called_strike,,,,,11,Luis Arraez flies out to left fielder James Wood.,R,L,R,SD,WSH,S,,,0,0,2025,0.02,0.9,-0.84,2.73,,,701538.0,2,5,Bot,,,,,,,3.5083973628217837,-126.2808382672976,-0.9512392911236228,-0.6416525461856651,28.88244600284636,-22.70370390622461,3.22,1.59,,,,87.2,2215,6.8,777372,656180,663993,671277,691781,682928,695578,696285,695734,53.68,,,,,,,,47,1,4-Seam Fastball,3,3,3,3,3,3,3,3,Infield shade,Standard,211,0.0,-0.047,,,,0.047,,0,0,0.531,0.531,33,28,33,28,3,2,,,,,2.16,-0.02,0.02,,,,,,
3,ST,2025-06-24,76.1,-2.47,4.89,"Arraez, Luis",650333,592866,single,hit_into_play,,,,,7,Luis Arraez singles on a line drive to right fielder Daylen Lile.,R,L,R,SD,WSH,X,9.0,line_drive,0,1,2025,0.94,0.72,-0.43,1.99,,,,1,4,Bot,158.03,86.94,,,,,2.599232482627645,-110.651607596511,-0.1297262204441915,7.011499570971213,24.614497455942665,-26.626232756550134,3.3,1.51,290.0,89.8,21.0,75.9,2256,6.8,777372,656180,663993,671277,691781,682928,695578,696285,695734,53.75,0.28,0.285,0.9,1.0,1.0,0.0,3.0,35,2,Sweeper,0,3,0,3,3,0,0,3,Infield shade,Strategic,84,0.027,0.458,67.9,6.5,0.404,-0.458,89.8,-3,-3,0.18,0.18,33,28,33,28,2,1,,,,,3.31,-0.94,0.94,,15.30689768304156,-0.980371396298871,39.18481239271309,39.83505114629902,44.39882524623812
4,ST,2025-06-24,76.3,-2.31,4.98,"Arraez, Luis",650333,592866,,called_strike,,,,,8,Luis Arraez singles on a line drive to right fielder Daylen Lile.,R,L,R,SD,WSH,S,,,0,0,2025,0.96,0.74,-0.21,1.84,,,,1,4,Bot,,,,,,,2.6942068320554324,-110.840692470811,-0.6357910579382936,7.0931710222523625,26.50709522827053,-26.36355219757077,3.38,1.67,,,,75.7,2232,6.7,777372,656180,663993,671277,691781,682928,695578,696285,695734,53.79,,,,,,,,35,1,Sweeper,0,3,0,3,3,0,0,3,Standard,Standard,88,0.0,-0.037,,,,0.037,,-3,-3,0.18,0.18,33,28,33,28,2,1,,,,,3.3,-0.96,0.96,,,,,,
5,SI,2025-06-24,96.5,3.14,5.68,"Arraez, Luis",650333,678606,field_out,hit_into_play,,,,,9,"Luis Arraez grounds out, second baseman Luis García Jr. to first baseman Nathaniel Lowe.",R,L,L,SD,WSH,X,4.0,ground_ball,0,0,2025,1.58,0.49,0.3,1.97,,,,2,7,Bot,140.67,150.67,,,,,-11.013058686541594,-140.02011909070788,-5.298966650924962,23.358827825447843,34.581415235175065,-24.649518915172056,3.3,1.51,2.0,77.2,-48.0,95.2,2049,5.9,777372,656180,663993,671277,691781,682928,695578,696285,695734,54.61,0.131,0.114,0.0,1.0,0.0,0.0,2.0,63,1,Sinker,4,3,4,3,3,4,4,3,Infield shade,Standard,104,-0.009,-0.256,61.7,5.4,0.131,0.256,88.0,1,1,0.762,0.762,25,28,25,28,1,3,,,,,1.99,1.58,1.58,,-7.534921789508986,20.346719267214663,40.19838217407553,34.021675167758474,24.925286507863497
6,FF,2025-06-24,88.5,-2.31,5.06,"Arraez, Luis",650333,592866,single,hit_into_play,,,,,4,Luis Arraez singles on a line drive to center fielder Jacob Young. Manny Machado to 2nd.,R,L,R,SD,WSH,X,8.0,line_drive,1,0,2025,-0.49,1.24,-0.51,2.59,,,592518.0,2,1,Bot,96.37,102.19,,,,,5.452595326304643,-128.6572511589469,-2.484591424047436,-6.647271337046096,29.10564170552513,-18.210416682670715,3.3,1.51,216.0,88.2,15.0,88.8,2085,6.7,777372,656180,663993,671277,691781,682928,695578,696285,695734,53.76,0.991,0.928,0.9,1.0,1.0,0.0,4.0,9,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shade,Strategic,220,0.02,0.324,63.0,5.7,1.134,-0.324,88.2,0,0,0.522,0.522,33,28,33,28,1,0,,,,,1.7,0.49,-0.49,,3.3371487052530617,11.112344984963164,33.76899495497635,38.70291255857829,28.55494814689947
7,ST,2025-06-24,78.9,-2.61,4.96,"Arraez, Luis",650333,592866,,ball,,,,,13,Luis Arraez singles on a line drive to center fielder Jacob Young. Manny Machado to 2nd.,R,L,R,SD,WSH,B,,,0,0,2025,0.6,0.43,-2.15,2.21,,,592518.0,2,1,Bot,,,,,,,-0.1129387782498221,-114.9019930613756,0.0528734251798674,5.280635658469977,22.218293209715863,-28.577730261407613,3.18,1.58,,,,79.5,2125,6.8,777372,656180,663993,671277,691781,682928,695578,696285,695734,53.73,,,,,,,,9,1,Sweeper,0,0,0,0,0,0,0,0,Infield shade,Strategic,149,0.0,0.034,,,,-0.034,,0,0,0.522,0.522,33,28,33,28,1,0,,,,,3.23,-0.6,0.6,,,,,,
8,FF,2025-06-23,92.7,1.25,6.17,"Arraez, Luis",650333,680730,field_out,hit_into_play,,,,,1,Luis Arraez flies out to right fielder Daylen Lile.,R,L,L,SD,WSH,X,9.0,fly_ball,2,0,2025,0.38,1.36,-0.37,3.4,,,701538.0,1,6,Bot,201.25,71.56,,,,,-5.014749037196545,-134.84217449392204,-4.251712605526499,5.774266726417171,30.469922550552244,-14.82295633650742,3.3,1.52,365.0,96.1,35.0,93.2,2105,6.7,777382,656180,663993,671277,691781,682928,695578,696285,695734,53.81,0.163,0.296,0.0,1.0,0.0,0.0,3.0,53,3,4-Seam Fastball,1,6,1,6,6,1,1,6,Standard,Standard,160,-0.014,-0.347,64.0,6.5,0.571,0.347,96.1,-5,-5,0.051,0.051,25,28,26,28,3,2,5.0,1.0,,,1.3,0.38,0.38,59.2,17.319748340045976,-13.327633025761935,24.587768548638877,39.74829598427785,35.30979958994505
9,SL,2025-06-23,86.0,1.87,5.81,"Arraez, Luis",650333,680730,,blocked_ball,,,,,13,Luis Arraez flies out to right fielder Daylen Lile.,R,L,L,SD,WSH,B,,,1,0,2025,-0.28,0.2,-1.39,0.57,,,701538.0,1,6,Bot,,,,,,,-7.2088632493979725,-125.0244366655915,-6.677789009242261,-1.6426984433062364,23.05712943965692,-28.941549399608167,3.22,1.59,,,,86.7,2384,6.6,777382,656180,663993,671277,691781,682928,695578,696285,695734,53.88,,,,,,,,53,2,Slider,1,6,1,6,6,1,1,6,Standard,Standard,319,0.0,0.056,,,,-0.056,,-5,-5,0.051,0.051,25,28,26,28,3,2,5.0,1.0,,,2.86,-0.28,-0.28,46.3,,,,,
